# Step | Energy (eV) | Status
 329 |  -611.184714 | Accepted
 330 |  -611.181875 | Accepted
 331 |  -611.177375 | Accepted
 332 |  -611.183245 | Accepted
 334 |  -611.183334 | Accepted
 335 |  -611.363724 | Accepted
 336 |  -611.372158 | Accepted
 338 |  -611.370329 | Accepted
 339 |  -611.376943 | Accepted
 340 |  -611.374382 | Accepted
 341 |  -611.379380 | Accepted
 342 |  -611.378931 | Accepted
 343 |  -611.373920 | Accepted
 344 |  -611.375470 | Accepted
 345 |  -611.374235 | Accepted
 346 |  -611.376096 | Accepted
 349 |  -611.375659 | Accepted
 350 |  -611.370138 | Accepted
 351 |  -611.376983 | Accepted
 352 |  -611.375383 | Accepted
 355 |  -611.370279 | Accepted
 356 |  -611.371927 | Accepted
 357 |  -611.371685 | Accepted
 359 |  -611.375469 | Accepted
 361 |  -611.370960 | Accepted
 362 |  -611.376910 | Accepted
 363 |  -611.378006 | Accepted
 364 |  -611.373532 | Accepted
 365 |  -611.374119 | Accepted
 366 |  -611.375802 | Accepted
 367 |  -611.372177 | Accepted
 368 |  -611.375882 | Accepted
 370 |  -611.376367 | Accepted
 372 |  -611.373783 | Accepted
 373 |  -611.369266 | Accepted
 374 |  -611.375806 | Accepted
 375 |  -611.366332 | Accepted
 376 |  -611.368348 | Accepted
 377 |  -611.370116 | Accepted
 378 |  -611.377020 | Accepted
 379 |  -611.375123 | Accepted
 380 |  -611.374503 | Accepted
 382 |  -611.378156 | Accepted
 385 |  -611.371525 | Accepted
 386 |  -611.374076 | Accepted
 387 |  -611.366959 | Accepted
 388 |  -611.375232 | Accepted
 389 |  -611.375416 | Accepted
 390 |  -611.370565 | Accepted
 391 |  -611.369327 | Accepted
 392 |  -611.368743 | Accepted
 393 |  -611.368561 | Accepted
 394 |  -611.373166 | Accepted
 395 |  -611.376207 | Accepted
 396 |  -611.374106 | Accepted
 397 |  -611.368257 | Accepted
 399 |  -611.371808 | Accepted
 401 |  -611.365890 | Accepted
 402 |  -611.369349 | Accepted
 403 |  -611.372825 | Accepted
 404 |  -611.379896 | Accepted
 405 |  -611.376201 | Accepted
 406 |  -611.375119 | Accepted
 407 |  -611.375872 | Accepted
 408 |  -611.374156 | Accepted
 409 |  -611.374581 | Accepted
 410 |  -611.369228 | Accepted
 411 |  -611.374935 | Accepted
 412 |  -611.376526 | Accepted
 415 |  -611.372564 | Accepted
 416 |  -611.376059 | Accepted
 418 |  -611.373353 | Accepted
 419 |  -611.377401 | Accepted
 422 |  -611.376122 | Accepted
 423 |  -611.373216 | Accepted
 424 |  -611.373650 | Accepted
 425 |  -611.371893 | Accepted
 426 |  -611.369625 | Accepted
 427 |  -611.376166 | Accepted
 428 |  -611.370040 | Accepted
 429 |  -611.374049 | Accepted
 430 |  -611.373093 | Accepted
 431 |  -611.372097 | Accepted
 432 |  -611.371449 | Accepted
 433 |  -611.373889 | Accepted
 434 |  -611.375675 | Accepted
 435 |  -611.369678 | Accepted
 436 |  -611.377514 | Accepted
 438 |  -611.372415 | Accepted
 439 |  -611.376601 | Accepted
 441 |  -611.372251 | Accepted
 442 |  -611.375355 | Accepted
 443 |  -611.374705 | Accepted
 444 |  -611.370016 | Accepted
 445 |  -611.372262 | Accepted
 446 |  -611.377151 | Accepted
 447 |  -611.375612 | Accepted
 448 |  -611.374458 | Accepted
 449 |  -611.373952 | Accepted
 450 |  -611.375505 | Accepted
 451 |  -611.375831 | Accepted
 453 |  -611.371398 | Accepted
 454 |  -611.370734 | Accepted
 455 |  -611.373710 | Accepted
 456 |  -611.372774 | Accepted
 457 |  -611.370340 | Accepted
 459 |  -611.374557 | Accepted
 460 |  -611.373409 | Accepted
 461 |  -611.373396 | Accepted
 462 |  -611.374225 | Accepted
 463 |  -611.371092 | Accepted
 464 |  -611.373027 | Accepted
 465 |  -611.367319 | Accepted
 466 |  -611.373958 | Accepted
 467 |  -611.377652 | Accepted
 472 |  -611.372745 | Accepted
 473 |  -611.374815 | Accepted
 474 |  -611.374644 | Accepted
 475 |  -611.375664 | Accepted
 476 |  -611.375988 | Accepted
 478 |  -611.377292 | Accepted
 479 |  -611.374538 | Accepted
 480 |  -611.373624 | Accepted
 481 |  -611.374400 | Accepted
 482 |  -611.366752 | Accepted
 483 |  -611.375267 | Accepted
 485 |  -611.372036 | Accepted
 486 |  -611.371841 | Accepted
 487 |  -611.376946 | Accepted
 489 |  -611.375496 | Accepted
 490 |  -611.378305 | Accepted
 491 |  -611.372531 | Accepted
 492 |  -611.372647 | Accepted
 493 |  -611.373533 | Accepted
 494 |  -611.376059 | Accepted
 495 |  -611.377564 | Accepted
 496 |  -611.371021 | Accepted
 497 |  -611.371693 | Accepted
 498 |  -611.376793 | Accepted
 499 |  -611.374149 | Accepted
 500 |  -611.373257 | Accepted
 502 |  -611.372784 | Accepted
 503 |  -611.373457 | Accepted
 504 |  -611.373774 | Accepted
 505 |  -611.375243 | Accepted
 506 |  -611.371450 | Accepted
 507 |  -611.375116 | Accepted
 508 |  -611.376394 | Accepted
 509 |  -611.375318 | Accepted
 510 |  -611.367823 | Accepted
 511 |  -611.373948 | Accepted
 512 |  -611.369449 | Accepted
 513 |  -611.375587 | Accepted
 516 |  -611.373872 | Accepted
 517 |  -611.375812 | Accepted
 518 |  -611.373316 | Accepted
 520 |  -611.373451 | Accepted
